,Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified,Year,Month
52,CT3,NO2,2006-02-22,56.5,ug m-3,R,2006,2
53,CT3,NO2,2006-02-23,68.2,ug m-3,R,2006,2
54,CT3,NO2,2006-02-24,65.7,ug m-3,R,2006,2
55,CT3,NO2,2006-02-25,39.3,ug m-3,R,2006,2
56,CT3,NO2,2006-02-26,40.3,ug m-3,R,2006,2
57,CT3,NO2,2006-02-27,67.2,ug m-3,R,2006,2
58,CT3,NO2,2006-02-28,62.7,ug m-3,R,2006,2
59,CT3,NO2,2006-01-03,77.9,ug m-3,R,2006,1
60,CT3,NO2,2006-02-03,89.7,ug m-3,R,2006,2
61,CT3,NO2,2006-03-03,96.9,ug m-3,R,2006,3
62,CT3,NO2,2006-04-03,84.0,ug m-3,R,2006,4
63,CT3,NO2,2006-05-03,68.0,ug m-3,R,2006,5
64,CT3,NO2,2006-06-03,83.8,ug m-3,R,2006,6
65,CT3,NO2,2006-07-03,89.2,ug m-3,R,2006,7
66,CT3,NO2,2006-08-03,78.3,ug m-3,R,2006,8
67,CT3,NO2,2006-09-03,71.0,ug m-3,R,2006,9
68,CT3,NO2,2006-10-03,66.9,ug m-3,R,2006,10
69,CT3,NO2,2006-11-03,49.3,ug m-3,R,2006,11
70,CT3,NO2,2006-12-03,54.3,ug m-3,R,2006,12
71,CT3,NO2,2006-03-13,67.7,ug m-3,R,2006,3
72,CT3,NO2,2006-03-14,88.3,ug m-3,R,2006,3
73,CT3,NO2,2006-03-15,95.9,ug m-3,R,2006,3
74,CT3,NO2,2006-03-16,77.9,ug m-3,R,2006,3
75,CT3,NO2,2006-03-17,70.4,ug m-3,R,2006,3
76,CT3,NO2,2006-03-18,54.1,ug m-3,R,2006,3
77,CT3,NO2,2006-03-19,51.1,ug m-3,R,2006,3
78,CT3,NO2,2006-03-20,60.6,ug m-3,R,2006,3
79,CT3,NO2,2006-03-21,61.1,ug m-3,R,2006,3
80,CT3,NO2,2006-03-22,64.7,ug m-3,R,2006,3
81,CT3,NO2,2006-03-23,85.9,ug m-3,R,2006,3
82,CT3,NO2,2006-03-24,68.4,ug m-3,R,2006,3
83,CT3,NO2,2006-03-25,38.3,ug m-3,R,2006,3
84,CT3,NO2,2006-03-26,29.1,ug m-3,R,2006,3
85,CT3,NO2,2006-03-27,32.5,ug m-3,R,2006,3
86,CT3,NO2,2006-03-28,44.6,ug m-3,R,2006,3
87,CT3,NO2,2006-03-29,55.5,ug m-3,R,2006,3
88,CT3,NO2,2006-03-30,37.8,ug m-3,R,2006,3
89,CT3,NO2,2006-03-31,39.7,ug m-3,R,2006,3
90,CT3,NO2,2006-01-04,34.9,ug m-3,R,2006,1
91,CT3,NO2,2006-02-04,34.2,ug m-3,R,2006,2
92,CT3,NO2,2006-03-04,55.7,ug m-3,R,2006,3
93,CT3,NO2,2006-04-04,51.6,ug m-3,R,2006,4
94,CT3,NO2,2006-05-04,57.6,ug m-3,R,2006,5
95,CT3,NO2,2006-06-04,76.6,ug m-3,R,2006,6
96,CT3,NO2,2006-07-04,57.6,ug m-3,R,2006,7
97,CT3,NO2,2006-08-04,39.2,ug m-3,R,2006,8
98,CT3,NO2,2006-09-04,41.6,ug m-3,R,2006,9
99,CT3,NO2,2006-10-04,53.4,ug m-3,R,2006,10
100,CT3,NO2,2006-11-04,66.3,ug m-3,R,2006,11
101,CT3,NO2,2006-12-04,64.3,ug m-3,R,2006,12
102,CT3,NO2,2006-04-13,56.5,ug m-3,R,2006,4
103,CT3,NO2,2006-04-14,55.8,ug m-3,R,2006,4
104,CT3,NO2,2006-04-15,64.4,ug m-3,R,2006,4
105,CT3,NO2,2006-04-16,52.3,ug m-3,R,2006,4
106,CT3,NO2,2006-04-17,44.2,ug m-3,R,2006,4
107,CT3,NO2,2006-04-18,55.9,ug m-3,R,2006,4
108,CT3,NO2,2006-04-19,43.0,ug m-3,R,2006,4
109,CT3,NO2,2006-04-20,50.5,ug m-3,R,2006,4
110,CT3,NO2,2006-04-21,69.5,ug m-3,R,2006,4
111,CT3,NO2,2006-04-22,61.1,ug m-3,R,2006,4
112,CT3,NO2,2006-04-23,68.3,ug m-3,R,2006,4
113,CT3,NO2,2006-04-24,80.6,ug m-3,R,2006,4
114,CT3,NO2,2006-04-25,61.9,ug m-3,R,2006,4
115,CT3,NO2,2006-04-26,54.6,ug m-3,R,2006,4
116,CT3,NO2,2006-04-27,65.9,ug m-3,R,2006,4
117,CT3,NO2,2006-04-28,60.7,ug m-3,R,2006,4
118,CT3,NO2,2006-04-29,37.3,ug m-3,R,2006,4
119,CT3,NO2,2006-04-30,42.0,ug m-3,R,2006,4
120,CT3,NO2,2006-01-05,37.0,ug m-3,R,2006,1
121,CT3,NO2,2006-02-05,52.8,ug m-3,R,2006,2
122,CT3,NO2,2006-03-05,51.9,ug m-3,R,2006,3
123,CT3,NO2,2006-04-05,91.2,ug m-3,R,2006,4
124,CT3,NO2,2006-05-05,45.5,ug m-3,R,2006,5
125,CT3,NO2,2006-06-05,77.0,ug m-3,R,2006,6
126,CT3,NO2,2006-07-05,42.9,ug m-3,R,2006,7
127,CT3,NO2,2006-08-05,58.1,ug m-3,R,2006,8
128,CT3,NO2,2006-09-05,66.4,ug m-3,R,2006,9
129,CT3,NO2,2006-10-05,72.1,ug m-3,R,2006,10
130,CT3,NO2,2006-11-05,77.2,ug m-3,R,2006,11
131,CT3,NO2,2006-12-05,96.1,ug m-3,R,2006,12
132,CT3,NO2,2006-05-13,53.7,ug m-3,R,2006,5
133,CT3,NO2,2006-05-14,55.2,ug m-3,R,2006,5
134,CT3,NO2,2006-05-15,53.3,ug m-3,R,2006,5
135,CT3,NO2,2006-05-16,48.0,ug m-3,R,2006,5
136,CT3,NO2,2006-05-17,47.2,ug m-3,R,2006,5
137,CT3,NO2,2006-05-18,31.4,ug m-3,R,2006,5
138,CT3,NO2,2006-05-19,34.0,ug m-3,R,2006,5
139,CT3,NO2,2006-05-20,41.2,ug m-3,R,2006,5
140,CT3,NO2,2006-05-21,32.3,ug m-3,R,2006,5
141,CT3,NO2,2006-05-22,36.7,ug m-3,R,2006,5
142,CT3,NO2,2006-05-23,42.4,ug m-3,R,2006,5
143,CT3,NO2,2006-05-24,48.1,ug m-3,R,2006,5
144,CT3,NO2,2006-05-25,52.5,ug m-3,R,2006,5
145,CT3,NO2,2006-05-26,39.9,ug m-3,R,2006,5
146,CT3,NO2,2006-05-27,32.8,ug m-3,R,2006,5
147,CT3,NO2,2006-05-28,27.5,ug m-3,R,2006,5
148,CT3,NO2,2006-05-29,24.4,ug m-3,R,2006,5
149,CT3,NO2,2006-05-30,38.8,ug m-3,R,2006,5
150,CT3,NO2,2006-05-31,42.7,ug m-3,R,2006,5
151,CT3,NO2,2006-01-06,60.6,ug m-3,R,2006,1
152,CT3,NO2,2006-02-06,63.1,ug m-3,R,2006,2
153,CT3,NO2,2006-03-06,56.0,ug m-3,R,2006,3
154,CT3,NO2,2006-04-06,41.2,ug m-3,R,2006,4
155,CT3,NO2,2006-05-06,51.4,ug m-3,R,2006,5
156,CT3,NO2,2006-06-06,50.7,ug m-3,R,2006,6
157,CT3,NO2,2006-07-06,62.9,ug m-3,R,2006,7
158,CT3,NO2,2006-08-06,72.8,ug m-3,R,2006,8
159,CT3,NO2,2006-09-06,103.2,ug m-3,R,2006,9
160,CT3,NO2,2006-10-06,65.0,ug m-3,R,2006,10
161,CT3,NO2,2006-11-06,46.5,ug m-3,R,2006,11
162,CT3,NO2,2006-12-06,58.9,ug m-3,R,2006,12
163,CT3,NO2,2006-06-13,65.1,ug m-3,R,2006,6
164,CT3,NO2,2006-06-14,45.1,ug m-3,R,2006,6
165,CT3,NO2,2006-06-15,41.9,ug m-3,R,2006,6
166,CT3,NO2,2006-06-16,54.2,ug m-3,R,2006,6
167,CT3,NO2,2006-06-17,69.4,ug m-3,R,2006,6
168,CT3,NO2,2006-06-18,36.1,ug m-3,R,2006,6
169,CT3,NO2,2006-06-19,30.3,ug m-3,R,2006,6
170,CT3,NO2,2006-06-20,28.4,ug m-3,R,2006,6
171,CT3,NO2,2006-06-21,38.3,ug m-3,R,2006,6
172,CT3,NO2,2006-06-22,42.0,ug m-3,R,2006,6
173,CT3,NO2,2006-06-23,46.0,ug m-3,R,2006,6
174,CT3,NO2,2006-06-24,41.7,ug m-3,R,2006,6
175,CT3,NO2,2006-06-25,71.0,ug m-3,R,2006,6
176,CT3,NO2,2006-06-26,43.1,ug m-3,R,2006,6
177,CT3,NO2,2006-06-27,53.0,ug m-3,R,2006,6
178,CT3,NO2,2006-06-28,76.2,ug m-3,R,2006,6
179,CT3,NO2,2006-06-29,85.8,ug m-3,R,2006,6
180,CT3,NO2,2006-06-30,84.2,ug m-3,R,2006,6
181,CT3,NO2,2006-01-07,87.3,ug m-3,R,2006,1
182,CT3,NO2,2006-02-07,77.4,ug m-3,R,2006,2
183,CT3,NO2,2006-03-07,80.8,ug m-3,R,2006,3
184,CT3,NO2,2006-04-07,99.6,ug m-3,R,2006,4
185,CT3,NO2,2006-05-07,86.7,ug m-3,R,2006,5
186,CT3,NO2,2006-06-07,44.4,ug m-3,R,2006,6
187,CT3,NO2,2006-07-07,42.3,ug m-3,R,2006,7
188,CT3,NO2,2006-08-07,26.7,ug m-3,R,2006,8
189,CT3,NO2,2006-09-07,21.8,ug m-3,R,2006,9
190,CT3,NO2,2006-10-07,34.2,ug m-3,R,2006,10
191,CT3,NO2,2006-11-07,37.5,ug m-3,R,2006,11
192,CT3,NO2,2006-12-07,52.0,ug m-3,R,2006,12
193,CT3,NO2,2006-07-13,38.0,ug m-3,R,2006,7
194,CT3,NO2,2006-07-14,38.3,ug m-3,R,2006,7
195,CT3,NO2,2006-07-15,36.5,ug m-3,R,2006,7
196,CT3,NO2,2006-07-16,51.9,ug m-3,R,2006,7
197,CT3,NO2,2006-07-17,84.3,ug m-3,R,2006,7
198,CT3,NO2,2006-07-18,95.7,ug m-3,R,2006,7
199,CT3,NO2,2006-07-19,96.0,ug m-3,R,2006,7
200,CT3,NO2,2006-07-20,46.5,ug m-3,R,2006,7
201,CT3,NO2,2006-07-21,50.5,ug m-3,R,2006,7
202,CT3,NO2,2006-07-22,57.9,ug m-3,R,2006,7
203,CT3,NO2,2006-07-23,29.1,ug m-3,R,2006,7
204,CT3,NO2,2006-07-24,,ug m-3,R,2006,7
205,CT3,NO2,2006-07-25,,ug m-3,R,2006,7
206,CT3,NO2,2006-07-26,,ug m-3,R,2006,7
207,CT3,NO2,2006-07-27,,ug m-3,R,2006,7
208,CT3,NO2,2006-07-28,,ug m-3,R,2006,7
209,CT3,NO2,2006-07-29,,ug m-3,R,2006,7
210,CT3,NO2,2006-07-30,,ug m-3,R,2006,7
211,CT3,NO2,2006-07-31,,ug m-3,R,2006,7
212,CT3,NO2,2006-01-08,,ug m-3,R,2006,1
213,CT3,NO2,2006-02-08,,ug m-3,R,2006,2
214,CT3,NO2,2006-03-08,,ug m-3,R,2006,3
215,CT3,NO2,2006-04-08,,ug m-3,R,2006,4
216,CT3,NO2,2006-05-08,,ug m-3,R,2006,5
217,CT3,NO2,2006-06-08,,ug m-3,R,2006,6
218,CT3,NO2,2006-07-08,,ug m-3,R,2006,7
219,CT3,NO2,2006-08-08,,ug m-3,R,2006,8
220,CT3,NO2,2006-09-08,,ug m-3,R,2006,9
221,CT3,NO2,2006-10-08,,ug m-3,R,2006,10
222,CT3,NO2,2006-11-08,,ug m-3,R,2006,11
223,CT3,NO2,2006-12-08,,ug m-3,R,2006,12
224,CT3,NO2,2006-08-13,,ug m-3,R,2006,8
225,CT3,NO2,2006-08-14,,ug m-3,R,2006,8
226,CT3,NO2,2006-08-15,,ug m-3,R,2006,8
227,CT3,NO2,2006-08-16,,ug m-3,R,2006,8
228,CT3,NO2,2006-08-17,,ug m-3,R,2006,8
229,CT3,NO2,2006-08-18,,ug m-3,R,2006,8
230,CT3,NO2,2006-08-19,,ug m-3,R,2006,8
231,CT3,NO2,2006-08-20,,ug m-3,R,2006,8
232,CT3,NO2,2006-08-21,,ug m-3,R,2006,8
233,CT3,NO2,2006-08-22,,ug m-3,R,2006,8
234,CT3,NO2,2006-08-23,,ug m-3,R,2006,8
235,CT3,NO2,2006-08-24,,ug m-3,R,2006,8
236,CT3,NO2,2006-08-25,,ug m-3,R,2006,8
237,CT3,NO2,2006-08-26,,ug m-3,R,2006,8
238,CT3,NO2,2006-08-27,,ug m-3,R,2006,8
239,CT3,NO2,2006-08-28,,ug m-3,R,2006,8
240,CT3,NO2,2006-08-29,,ug m-3,R,2006,8
241,CT3,NO2,2006-08-30,,ug m-3,R,2006,8
242,CT3,NO2,2006-08-31,,ug m-3,R,2006,8
243,CT3,NO2,2006-01-09,,ug m-3,R,2006,1
244,CT3,NO2,2006-02-09,,ug m-3,R,2006,2
245,CT3,NO2,2006-03-09,,ug m-3,R,2006,3
246,CT3,NO2,2006-04-09,,ug m-3,R,2006,4
247,CT3,NO2,2006-05-09,,ug m-3,R,2006,5
248,CT3,NO2,2006-06-09,,ug m-3,R,2006,6
249,CT3,NO2,2006-07-09,42.9,ug m-3,R,2006,7
250,CT3,NO2,2006-08-09,60.5,ug m-3,R,2006,8
251,CT3,NO2,2006-09-09,74.4,ug m-3,R,2006,9
252,CT3,NO2,2006-10-09,62.4,ug m-3,R,2006,10
253,CT3,NO2,2006-11-09,94.7,ug m-3,R,2006,11
254,CT3,NO2,2006-12-09,73.0,ug m-3,R,2006,12
255,CT3,NO2,2006-09-13,61.8,ug m-3,R,2006,9
256,CT3,NO2,2006-09-14,,ug m-3,R,2006,9
257,CT3,NO2,2006-09-15,,ug m-3,R,2006,9
258,CT3,NO2,2006-09-16,34.5,ug m-3,R,2006,9
259,CT3,NO2,2006-09-17,42.7,ug m-3,R,2006,9
260,CT3,NO2,2006-09-18,40.9,ug m-3,R,2006,9
261,CT3,NO2,2006-09-19,44.5,ug m-3,R,2006,9
262,CT3,NO2,2006-09-20,52.9,ug m-3,R,2006,9
263,CT3,NO2,2006-09-21,55.7,ug m-3,R,2006,9
264,CT3,NO2,2006-09-22,59.4,ug m-3,R,2006,9
265,CT3,NO2,2006-09-23,66.4,ug m-3,R,2006,9
266,CT3,NO2,2006-09-24,51.1,ug m-3,R,2006,9
267,CT3,NO2,2006-09-25,76.2,ug m-3,R,2006,9
268,CT3,NO2,2006-09-26,63.2,ug m-3,R,2006,9
269,CT3,NO2,2006-09-27,48.8,ug m-3,R,2006,9
270,CT3,NO2,2006-09-28,44.8,ug m-3,R,2006,9
271,CT3,NO2,2006-09-29,47.9,ug m-3,R,2006,9
272,CT3,NO2,2006-09-30,39.1,ug m-3,R,2006,9
273,CT3,NO2,2006-01-10,26.0,ug m-3,R,2006,1
274,CT3,NO2,2006-02-10,41.5,ug m-3,R,2006,2
275,CT3,NO2,2006-03-10,59.4,ug m-3,R,2006,3
276,CT3,NO2,2006-04-10,64.3,ug m-3,R,2006,4
277,CT3,NO2,2006-05-10,53.5,ug m-3,R,2006,5
278,CT3,NO2,2006-06-10,39.7,ug m-3,R,2006,6
279,CT3,NO2,2006-07-10,40.7,ug m-3,R,2006,7
280,CT3,NO2,2006-08-10,39.6,ug m-3,R,2006,8
281,CT3,NO2,2006-09-10,47.3,ug m-3,R,2006,9
282,CT3,NO2,2006-10-10,55.4,ug m-3,R,2006,10
283,CT3,NO2,2006-11-10,66.7,ug m-3,R,2006,11
284,CT3,NO2,2006-12-10,57.8,ug m-3,R,2006,12
285,CT3,NO2,2006-10-13,78.0,ug m-3,R,2006,10
286,CT3,NO2,2006-10-14,53.8,ug m-3,R,2006,10
287,CT3,NO2,2006-10-15,40.7,ug m-3,R,2006,10
288,CT3,NO2,2006-10-16,69.5,ug m-3,R,2006,10
289,CT3,NO2,2006-10-17,60.0,ug m-3,R,2006,10
290,CT3,NO2,2006-10-18,66.7,ug m-3,R,2006,10
291,CT3,NO2,2006-10-19,50.4,ug m-3,R,2006,10
292,CT3,NO2,2006-10-20,50.9,ug m-3,R,2006,10
293,CT3,NO2,2006-10-21,35.0,ug m-3,R,2006,10
294,CT3,NO2,2006-10-22,32.2,ug m-3,R,2006,10
295,CT3,NO2,2006-10-23,55.1,ug m-3,R,2006,10
296,CT3,NO2,2006-10-24,63.9,ug m-3,R,2006,10
297,CT3,NO2,2006-10-25,67.3,ug m-3,R,2006,10
298,CT3,NO2,2006-10-26,51.2,ug m-3,R,2006,10
299,CT3,NO2,2006-10-27,65.9,ug m-3,R,2006,10
300,CT3,NO2,2006-10-28,48.2,ug m-3,R,2006,10
301,CT3,NO2,2006-10-29,49.0,ug m-3,R,2006,10
302,CT3,NO2,2006-10-30,57.0,ug m-3,R,2006,10
303,CT3,NO2,2006-10-31,45.6,ug m-3,R,2006,10
304,CT3,NO2,2006-01-11,54.8,ug m-3,R,2006,1
305,CT3,NO2,2006-02-11,68.4,ug m-3,R,2006,2
306,CT3,NO2,2006-03-11,87.5,ug m-3,R,2006,3
307,CT3,NO2,2006-04-11,92.3,ug m-3,R,2006,4
308,CT3,NO2,2006-05-11,69.2,ug m-3,R,2006,5
309,CT3,NO2,2006-06-11,84.4,ug m-3,R,2006,6
310,CT3,NO2,2006-07-11,87.2,ug m-3,R,2006,7
311,CT3,NO2,2006-08-11,68.6,ug m-3,R,2006,8
312,CT3,NO2,2006-09-11,72.0,ug m-3,R,2006,9
313,CT3,NO2,2006-10-11,85.1,ug m-3,R,2006,10
314,CT3,NO2,2006-11-11,51.0,ug m-3,R,2006,11
315,CT3,NO2,2006-12-11,45.1,ug m-3,R,2006,12
316,CT3,NO2,2006-11-13,53.6,ug m-3,R,2006,11
317,CT3,NO2,2006-11-14,51.4,ug m-3,R,2006,11
318,CT3,NO2,2006-11-15,46.7,ug m-3,R,2006,11
319,CT3,NO2,2006-11-16,62.8,ug m-3,R,2006,11
320,CT3,NO2,2006-11-17,62.0,ug m-3,R,2006,11
321,CT3,NO2,2006-11-18,58.4,ug m-3,R,2006,11
322,CT3,NO2,2006-11-19,55.9,ug m-3,R,2006,11
323,CT3,NO2,2006-11-20,62.2,ug m-3,R,2006,11
324,CT3,NO2,2006-11-21,71.1,ug m-3,R,2006,11
325,CT3,NO2,2006-11-22,67.7,ug m-3,R,2006,11
326,CT3,NO2,2006-11-23,51.2,ug m-3,R,2006,11
327,CT3,NO2,2006-11-24,60.5,ug m-3,R,2006,11
328,CT3,NO2,2006-11-25,42.2,ug m-3,R,2006,11
329,CT3,NO2,2006-11-26,45.6,ug m-3,R,2006,11
330,CT3,NO2,2006-11-27,48.6,ug m-3,R,2006,11
331,CT3,NO2,2006-11-28,64.4,ug m-3,R,2006,11
332,CT3,NO2,2006-11-29,67.3,ug m-3,R,2006,11
333,CT3,NO2,2006-11-30,56.1,ug m-3,R,2006,11
334,CT3,NO2,2006-01-12,44.6,ug m-3,R,2006,1
335,CT3,NO2,2006-02-12,51.8,ug m-3,R,2006,2
336,CT3,NO2,2006-03-12,23.1,ug m-3,R,2006,3
337,CT3,NO2,2006-04-12,45.6,ug m-3,R,2006,4
338,CT3,NO2,2006-05-12,39.3,ug m-3,R,2006,5
339,CT3,NO2,2006-06-12,54.0,ug m-3,R,2006,6
340,CT3,NO2,2006-07-12,44.2,ug m-3,R,2006,7
341,CT3,NO2,2006-08-12,70.9,ug m-3,R,2006,8
342,CT3,NO2,2006-09-12,60.1,ug m-3,R,2006,9
343,CT3,NO2,2006-10-12,48.9,ug m-3,R,2006,10
344,CT3,NO2,2006-11-12,61.7,ug m-3,R,2006,11
345,CT3,NO2,2006-12-12,57.1,ug m-3,R,2006,12
346,CT3,NO2,2006-12-13,45.9,ug m-3,R,2006,12
347,CT3,NO2,2006-12-14,41.0,ug m-3,R,2006,12
348,CT3,NO2,2006-12-15,50.1,ug m-3,R,2006,12
349,CT3,NO2,2006-12-16,63.4,ug m-3,R,2006,12
350,CT3,NO2,2006-12-17,66.4,ug m-3,R,2006,12
351,CT3,NO2,2006-12-18,100.6,ug m-3,R,2006,12
352,CT3,NO2,2006-12-19,116.4,ug m-3,R,2006,12
353,CT3,NO2,2006-12-20,138.8,ug m-3,R,2006,12
354,CT3,NO2,2006-12-21,104.2,ug m-3,R,2006,12
355,CT3,NO2,2006-12-22,97.2,ug m-3,R,2006,12
356,CT3,NO2,2006-12-23,57.9,ug m-3,R,2006,12
357,CT3,NO2,2006-12-24,40.5,ug m-3,R,2006,12
358,CT3,NO2,2006-12-25,36.1,ug m-3,R,2006,12
359,CT3,NO2,2006-12-26,51.0,ug m-3,R,2006,12
360,CT3,NO2,2006-12-27,54.9,ug m-3,R,2006,12
361,CT3,NO2,2006-12-28,51.3,ug m-3,R,2006,12
362,CT3,NO2,2006-12-29,39.5,ug m-3,R,2006,12
363,CT3,NO2,2006-12-30,25.3,ug m-3,R,2006,12
364,CT3,NO2,2006-12-31,24.9,ug m-3,R,2006,12
365,CT3,NO2,2007-01-01,37.0,ug m-3,R,2007,1
366,CT3,NO2,2007-02-01,56.2,ug m-3,R,2007,2
367,CT3,NO2,2007-03-01,49.8,ug m-3,R,2007,3
368,CT3,NO2,2007-04-01,59.1,ug m-3,R,2007,4
369,CT3,NO2,2007-05-01,57.1,ug m-3,R,2007,5
370,CT3,NO2,2007-06-01,64.7,ug m-3,R,2007,6
371,CT3,NO2,2007-07-01,26.6,ug m-3,R,2007,7
372,CT3,NO2,2007-08-01,46.7,ug m-3,R,2007,8
373,CT3,NO2,2007-09-01,30.2,ug m-3,R,2007,9
374,CT3,NO2,2007-10-01,49.8,ug m-3,R,2007,10
375,CT3,NO2,2007-11-01,46.4,ug m-3,R,2007,11
376,CT3,NO2,2007-12-01,44.9,ug m-3,R,2007,12
377,CT3,NO2,2007-01-13,32.6,ug m-3,R,2007,1
378,CT3,NO2,2007-01-14,48.4,ug m-3,R,2007,1
379,CT3,NO2,2007-01-15,55.6,ug m-3,R,2007,1
380,CT3,NO2,2007-01-16,46.4,ug m-3,R,2007,1
381,CT3,NO2,2007-01-17,48.4,ug m-3,R,2007,1
382,CT3,NO2,2007-01-18,42.9,ug m-3,R,2007,1
383,CT3,NO2,2007-01-19,52.9,ug m-3,R,2007,1
384,CT3,NO2,2007-01-20,29.7,ug m-3,R,2007,1
385,CT3,NO2,2007-01-21,32.3,ug m-3,R,2007,1
386,CT3,NO2,2007-01-22,55.9,ug m-3,R,2007,1
387,CT3,NO2,2007-01-23,53.4,ug m-3,R,2007,1
388,CT3,NO2,2007-01-24,74.7,ug m-3,R,2007,1
389,CT3,NO2,2007-01-25,72.0,ug m-3,R,2007,1
390,CT3,NO2,2007-01-26,81.3,ug m-3,R,2007,1
391,CT3,NO2,2007-01-27,62.0,ug m-3,R,2007,1
392,CT3,NO2,2007-01-28,51.8,ug m-3,R,2007,1
393,CT3,NO2,2007-01-29,64.8,ug m-3,R,2007,1
394,CT3,NO2,2007-01-30,77.8,ug m-3,R,2007,1
395,CT3,NO2,2007-01-31,74.3,ug m-3,R,2007,1
396,CT3,NO2,2007-01-02,85.7,ug m-3,R,2007,1
397,CT3,NO2,2007-02-02,70.3,ug m-3,R,2007,2
398,CT3,NO2,2007-03-02,81.6,ug m-3,R,2007,3
399,CT3,NO2,2007-04-02,72.5,ug m-3,R,2007,4
400,CT3,NO2,2007-05-02,68.8,ug m-3,R,2007,5
401,CT3,NO2,2007-06-02,82.3,ug m-3,R,2007,6
402,CT3,NO2,2007-07-02,123.0,ug m-3,R,2007,7
403,CT3,NO2,2007-08-02,76.3,ug m-3,R,2007,8
404,CT3,NO2,2007-09-02,70.1,ug m-3,R,2007,9
405,CT3,NO2,2007-10-02,66.4,ug m-3,R,2007,10
406,CT3,NO2,2007-11-02,39.3,ug m-3,R,2007,11
407,CT3,NO2,2007-12-02,59.8,ug m-3,R,2007,12
408,CT3,NO2,2007-02-13,61.6,ug m-3,R,2007,2
409,CT3,NO2,2007-02-14,67.8,ug m-3,R,2007,2
410,CT3,NO2,2007-02-15,69.8,ug m-3,R,2007,2
411,CT3,NO2,2007-02-16,70.4,ug m-3,R,2007,2
412,CT3,NO2,2007-02-17,59.3,ug m-3,R,2007,2
